t,Nu
0.0679,3.91309185
0.0680,3.91311831
0.0682,3.91314461
0.0684,3.91317074
0.0686,3.91319668
0.0688,3.91322242
0.0689,3.91324794
0.0691,3.91327323
0.0693,3.91329829
0.0695,3.91332309
0.0697,3.91334764
0.0698,3.91337193
0.0700,3.91339594
0.0702,3.91341968
0.0704,3.91344313
0.0706,3.91346631
0.0707,3.91348920
0.0709,3.91351180
0.0711,3.91353412
0.0713,3.91355615
0.0714,3.91357790
0.0716,3.91359937
0.0718,3.91362056
0.0720,3.91364147
0.0722,3.91366211
0.0723,3.91368247
0.0725,3.91370258
0.0727,3.91372242
0.0729,3.91374201
0.0731,3.91376135
0.0732,3.91378044
0.0734,3.91379930
0.0736,3.91381792
0.0738,3.91383631
0.0740,3.91385448
0.0741,3.91387243
0.0743,3.91389017
0.0745,3.91390770
0.0747,3.91392503
0.0748,3.91394216
0.0750,3.91395910
0.0752,3.91397586
0.0754,3.91399243
0.0756,3.91400883
0.0757,3.91402506
0.0759,3.91404112
0.0761,3.91405702
0.0763,3.91407276
0.0765,3.91408834
0.0766,3.91410378
0.0768,3.91411907
0.0770,3.91413422
0.0772,3.91414923
0.0774,3.91416411
0.0775,3.91417886
0.0777,3.91419348
0.0779,3.91420797
0.0781,3.91422235
0.0783,3.91423660
0.0784,3.91425074
0.0786,3.91426477
0.0788,3.91427868
0.0790,3.91429249
0.0791,3.91430619
0.0793,3.91431979
0.0795,3.91433328
0.0797,3.91434667
0.0799,3.91435997
0.0800,3.91437317
0.0802,3.91438627
0.0804,3.91439927
0.0806,3.91441218
0.0808,3.91442500
0.0809,3.91443773
0.0811,3.91445037
0.0813,3.91446292
0.0815,3.91447538
0.0817,3.91448775
0.0818,3.91450003
0.0820,3.91451223
0.0822,3.91452434
0.0824,3.91453636
0.0825,3.91454830
0.0827,3.91456015
0.0829,3.91457192
0.0831,3.91458360
0.0833,3.91459519
0.0834,3.91460670
0.0836,3.91461813
0.0838,3.91462947
0.0840,3.91464073
0.0842,3.91465190
0.0843,3.91466299
0.0845,3.91467399
0.0847,3.91468491
0.0849,3.91469575
0.0851,3.91470650
0.0852,3.91471716
0.0854,3.91472774
0.0856,3.91473823
0.0858,3.91474864
0.0860,3.91475896
0.0861,3.91476920
0.0863,3.91477935
0.0865,3.91478942
0.0867,3.91479940
0.0868,3.91480929
0.0870,3.91481910
0.0872,3.91482882
0.0874,3.91483846
0.0876,3.91484801
0.0877,3.91485748
0.0879,3.91486686
0.0881,3.91487616
0.0883,3.91488537
0.0885,3.91489449
0.0886,3.91490354
0.0888,3.91491249
0.0890,3.91492137
0.0892,3.91493016
0.0894,3.91493887
0.0895,3.91494750
0.0897,3.91495605
0.0899,3.91496451
0.0901,3.91497290
0.0902,3.91498121
0.0904,3.91498944
0.0906,3.91499759
0.0908,3.91500567
0.0910,3.91501367
0.0911,3.91502159
0.0913,3.91502944
0.0915,3.91503723
0.0917,3.91504493
0.0919,3.91505257
0.0920,3.91506014
0.0922,3.91506764
0.0924,3.91507508
0.0926,3.91508245
0.0928,3.91508975
0.0929,3.91509699
0.0931,3.91510417
0.0933,3.91511128
0.0935,3.91511834
0.0937,3.91512534
0.0938,3.91513227
0.0940,3.91513915
0.0942,3.91514598
0.0944,3.91515275
0.0945,3.91515946
0.0947,3.91516612
0.0949,3.91517273
0.0951,3.91517928
0.0953,3.91518579
0.0954,3.91519224
0.0956,3.91519865
0.0958,3.91520500
0.0960,3.91521130
0.0962,3.91521756
0.0963,3.91522377
0.0965,3.91522993
0.0967,3.91523605
0.0969,3.91524212
0.0971,3.91524814
0.0972,3.91525412
0.0974,3.91526005
0.0976,3.91526593
0.0978,3.91527178
0.0979,3.91527757
0.0981,3.91528333
0.0983,3.91528904
0.0985,3.91529470
0.0987,3.91530033
0.0988,3.91530590
0.0990,3.91531144
0.0992,3.91531693
0.0994,3.91532239
0.0996,3.91532779
